"ITEMCODE","LOCATIONKEY","QUANTITYONHAND","QUANTITYBACKORDERED","QUANTITYRESERVED","QUANTITYINTRANSIT","BINLOCATION"
"10-8101","02","5","0","0","0","R"
"10-8101","03","0","0","0","0",""
"10-8108","00","0","0","0","0","RP"
"10-8108","01","0","0","0","0","RI"
"10-8108","02","3","0","0","0","RP"
"10-8108","03","0","0","0","0",""
"10-8109","00","0","0","0","0","RP"
"10-8109","01","0","0","0","0","RP"
"10-8109","02","0","0","0","0","RP"
"10-8109","03","0","0","0","0",""
"10-8880","00","0","0","0","0","RP"
"10-8880","01","0","0","0","0",""
"10-8880","02","3","0","0","0","R"
"10-8880","03","0","0","0","0",""
"10-9002-A","01","0","0","0","0","RP"
"10-9002-A","02","0","0","0","0","RP"
"10-9002-A","03","0","0","0","0",""
"10-9410","00","0","0","0","0","RP"
"10-9410","01","0","0","0","0","RP"
"10-9410","02","0","0","0","0",""
"10-9410","03","0","0","0","0",""
"10-950BK","02","0","0","0","0",""
"10-985XXX","00","0","0","0","0","RP"
"10-985XXX","01","0","0","0","0","RP"
"10-985XXX","02","0","0","0","0",""
"10-985XXX","03","0","0","0","0",""
"10-GOC","02","0","0","0","0",""
"10-HS22-BK-25","02","68","0","0","0","CC"
"10-HS22-BK-25","03","0","0","0","0",""
"10-HS22-BL-25","02","13","0","0","0","CC"
"10-HS22-BL-25","03","0","0","0","0",""
"10-HS22-GN-25","02","16","0","0","0","CC"
"10-HS22-GN-25","03","0","0","0","0",""
"10-HS22-RD-25","02","46","0","0","0","CC"
"10-HS22-RD-25","03","0","0","0","0",""
"10-HS22-WT-25","02","10","0","0","0","CC"
"10-HS22-WT-25","03","0","0","0","0",""
"10-HS22-YL-25","02","26","0","0","0","CC"
"10-HS22-YL-25","03","0","0","0","0",""
"10-HS22K6-25","02","48","0","0","0","CC"
"10-HS22K6-25","03","0","0","0","0",""
"10-HS22K6-25","04","-1","0","0","0",""
"10-HT22-BK-25","02","33","0","0","0","CC"
"10-HT22-BK-25","03","0","0","0","0",""
"10-HT22-BL-25","02","8","0","0","0","CC"
"10-HT22-BL-25","03","0","0","0","0",""
"10-HT22-GN-25","02","7","0","0","0","CC"
"10-HT22-GN-25","03","0","0","0","0",""
"10-HT22-RD-25","02","20","0","0","0","CC"
"10-HT22-RD-25","03","0","0","0","0",""
"10-HT22-WT-25","02","59","0","0","0","CC"
"10-HT22-WT-25","03","0","0","0","0",""
"10-HT22-YL-25","02","23","0","0","0","CC"
"10-HT22-YL-25","03","0","0","0","0",""
"10-HT22K6-25","02","47","0","0","0","CC"
"10-HT22K6-25","03","0","0","0","0",""
"10-HT22K6-25","04","0","0","0","0",""
"100-004-10","00","0","0","0","0","RP"
"100-004-10","01","0","0","0","0","RP"
"100-004-10","02","10","0","0","0","RP"
"100-004-10","03","0","0","0","0",""
"100-049","02","2","0","0","0","RI"
"100-049","03","0","0","0","0",""
"SE-101020090","03","0","0","0","0",""
"DM-510A","03","0","0","0","0",""
"100-104-10","00","0","0","0","0","RP"
"100-104-10","01","0","0","0","0","CC"
"100-104-10","02","5","0","-10","0","CC"
"100-104-10","03","0","0","0","0",""
"100-104-100","00","0","0","0","0","RP"
"100-104-100","01","0","0","0","0","CC"
"100-104-100","02","14","0","1","0","CC"
"100-104-100","03","0","0","0","0",""
"100-106-10","00","0","0","0","0","RP"
"100-106-10","01","0","0","0","0","CC"
